Instance,#Args,#Attacks,AVG DEG,MED DEG,AVG IN,MED IN,AVG OUT,MED OUT
b_5_6_7.tgf,12600,868098,137.79333333333332,114.0,68.89666666666666,57.0,68.89666666666666,57.0
be_6_10_7.tgf,22450,1904519,169.66761692650334,152.0,84.83380846325167,76.0,84.83380846325167,76.0
b_7_6_8.tgf,51000,3733516,146.41239215686275,118.0,73.20619607843138,59.0,73.20619607843138,59.0
e_7_4_6.tgf,38250,3216447,168.18023529411764,158.0,84.09011764705882,79.0,84.09011764705882,79.0
b_5_4_9.tgf,12600,829485,131.6642857142857,110.0,65.83214285714286,55.0,65.83214285714286,55.0
e_7_8_8.tgf,38250,3565846,186.4494640522876,168.0,93.2247320261438,84.0,93.2247320261438,84.0
b_5_2_9.tgf,12600,785206,124.63587301587302,106.0,62.31793650793651,53.0,62.31793650793651,53.0
be_5_2_10.tgf,11250,764473,135.9063111111111,136.0,67.95315555555555,68.0,67.95315555555555,68.0
be_6_3_10.tgf,22600,1602005,141.7703539823009,140.0,70.88517699115044,70.0,70.88517699115044,70.0
b_8_4_6.tgf,102200,7171388,140.34027397260274,114.0,70.17013698630137,57.0,70.17013698630137,57.0
be_6_2_8.tgf,22800,1560919,136.92271929824562,134.0,68.46135964912281,67.0,68.46135964912281,67.0
e_6_2_8.tgf,19050,1493919,156.84188976377953,152.0,78.42094488188977,76.0,78.42094488188977,76.0
b_5_6_6.tgf,12600,869807,138.06460317460318,114.0,69.03230158730159,57.0,69.03230158730159,57.0
be_5_1_10.tgf,11200,743681,132.80017857142857,134.0,66.40008928571429,67.0,66.40008928571429,67.0
be_8_4_6.tgf,89150,6860665,153.91284352215368,148.0,76.95642176107684,74.0,76.95642176107684,74.0
e_7_3_10.tgf,38250,3125352,163.4170980392157,156.0,81.70854901960784,78.0,81.70854901960784,78.0
be_7_8_7.tgf,44900,3785034,168.5983964365256,152.0,84.2991982182628,76.0,84.2991982182628,76.0
be_10_10_10.tgf,358550,36159916,201.70082833635476,168.0,100.85041416817738,84.0,100.85041416817738,84.0
b_10_3_10.tgf,409400,28558545,139.51414264777725,114.0,69.75707132388862,57.0,69.75707132388862,57.0
be_8_7_10.tgf,89800,7613470,169.56503340757237,154.0,84.78251670378619,77.0,84.78251670378619,77.0
b_5_2_8.tgf,12600,785436,124.67238095238095,106.0,62.336190476190474,53.0,62.336190476190474,53.0
e_7_2_6.tgf,38250,3033779,158.62896732026144,154.0,79.31448366013072,77.0,79.31448366013072,77.0
b_7_2_7.tgf,51000,3256310,127.69843137254902,108.0,63.84921568627451,54.0,63.84921568627451,54.0
be_9_7_10.tgf,179250,15725359,175.4572831241283,156.0,87.72864156206415,78.0,87.72864156206415,78.0
b_9_6_8.tgf,204600,15929032,155.7090127077224,122.0,77.8545063538612,61.0,77.8545063538612,61.0
e_5_4_8.tgf,9450,765270,161.96190476190475,156.0,80.98095238095237,78.0,80.98095238095237,78.0
be_7_6_6.tgf,44700,3558125,159.20022371364652,150.0,79.60011185682326,75.0,79.60011185682326,75.0
b_8_10_8.tgf,102200,8848213,173.15485322896282,134.0,86.57742661448141,67.0,86.57742661448141,67.0
b_9_8_8.tgf,204600,17187622,168.01194525904202,130.0,84.00597262952101,65.0,84.00597262952101,65.0
b_6_10_7.tgf,25400,2000227,157.49818897637795,124.0,78.74909448818897,62.0,78.74909448818897,62.0
b_6_4_8.tgf,25400,1701456,133.97291338582679,110.0,66.98645669291339,55.0,66.98645669291339,55.0
e_5_8_10.tgf,9450,824852,174.57185185185185,162.0,87.28592592592592,81.0,87.28592592592592,81.0
e_7_6_10.tgf,38250,3396734,177.6070065359477,164.0,88.80350326797385,82.0,88.80350326797385,82.0
e_5_10_6.tgf,9450,851800,180.27513227513228,164.0,90.13756613756614,82.0,90.13756613756614,82.0
b_9_4_9.tgf,204600,14670195,143.40366568914956,116.0,71.70183284457478,58.0,71.70183284457478,58.0
be_5_10_8.tgf,11000,900646,163.7538181818182,152.0,81.8769090909091,76.0,81.8769090909091,76.0
e_8_4_10.tgf,76650,6560818,171.18898891063276,160.0,85.59449445531638,80.0,85.59449445531638,80.0
b_8_10_7.tgf,102200,8834359,172.88373776908023,134.0,86.44186888454011,67.0,86.44186888454011,67.0
e_10_8_10.tgf,307050,31504999,205.21087119361667,178.0,102.60543559680833,89.0,102.60543559680833,89.0
be_8_10_6.tgf,89500,8361412,186.84719553072625,162.0,93.42359776536313,81.0,93.42359776536313,81.0
e_5_2_9.tgf,9450,734735,155.4994708994709,152.0,77.74973544973545,76.0,77.74973544973545,76.0
b_7_8_8.tgf,51000,3978624,156.0244705882353,124.0,78.01223529411764,62.0,78.01223529411764,62.0
b_10_10_10.tgf,409400,38658108,188.85250610649732,142.0,94.42625305324866,71.0,94.42625305324866,71.0
be_8_2_9.tgf,90250,6386200,141.52243767313018,140.0,70.76121883656509,70.0,70.76121883656509,70.0
b_5_7_10.tgf,12600,884257,140.35825396825396,114.0,70.17912698412698,57.0,70.17912698412698,57.0
be_9_3_10.tgf,178000,13401158,150.57480898876403,146.0,75.28740449438202,73.0,75.28740449438202,73.0
be_5_6_6.tgf,11150,832803,149.38170403587444,144.0,74.69085201793722,72.0,74.69085201793722,72.0
be_7_2_7.tgf,43950,3131660,142.51012514220704,144.0,71.25506257110352,72.0,71.25506257110352,72.0
b_5_8_7.tgf,12600,901134,143.03714285714287,116.0,71.51857142857143,58.0,71.51857142857143,58.0
be_5_8_9.tgf,11050,868202,157.1406334841629,148.0,78.57031674208145,74.0,78.57031674208145,74.0
e_5_3_10.tgf,9450,748860,158.48888888888888,154.0,79.24444444444444,77.0,79.24444444444444,77.0
b_6_10_10.tgf,25400,1995744,157.1451968503937,124.0,78.57259842519684,62.0,78.57259842519684,62.0
e_6_10_6.tgf,19050,1795100,188.46194225721786,168.0,94.23097112860893,84.0,94.23097112860893,84.0
e_6_6_6.tgf,19050,1639486,172.12451443569554,160.0,86.06225721784777,80.0,86.06225721784777,80.0
b_8_2_8.tgf,102200,6604648,129.24947162426614,108.0,64.62473581213307,54.0,64.62473581213307,54.0
be_5_2_6.tgf,10700,754223,140.97626168224298,144.0,70.48813084112149,72.0,70.48813084112149,72.0
be_8_4_9.tgf,88550,6837157,154.42477696216827,148.0,77.21238848108413,74.0,77.21238848108413,74.0
be_7_1_10.tgf,44950,3042091,135.3544382647386,138.0,67.6772191323693,69.0,67.6772191323693,69.0
b_10_1_10.tgf,409400,25632162,125.2181827063996,106.0,62.6090913531998,53.0,62.6090913531998,53.0
e_6_1_10.tgf,19050,1455803,152.84020997375328,150.0,76.42010498687664,75.0,76.42010498687664,75.0
b_6_6_9.tgf,25400,1805682,142.17968503937007,116.0,71.08984251968504,58.0,71.08984251968504,58.0
b_7_10_8.tgf,51000,4226936,165.76219607843137,130.0,82.88109803921569,65.0,82.88109803921569,65.0
e_7_4_10.tgf,38250,3213172,168.00899346405228,158.0,84.00449673202614,79.0,84.00449673202614,79.0
be_8_4_7.tgf,88500,6853656,154.8848813559322,148.0,77.4424406779661,74.0,77.4424406779661,74.0
e_8_8_9.tgf,76650,7396195,192.98617090671885,172.0,96.49308545335943,86.0,96.49308545335943,86.0
e_8_10_6.tgf,76650,7799204,203.50173515981734,176.0,101.75086757990867,88.0,101.75086757990867,88.0
e_6_10_9.tgf,19050,1787591,187.67359580052494,168.0,93.83679790026247,84.0,93.83679790026247,84.0
b_5_8_8.tgf,12600,906461,143.8826984126984,116.0,71.9413492063492,58.0,71.9413492063492,59.0
b_9_5_10.tgf,204600,15326424,149.81841642228738,120.0,74.90920821114369,60.0,74.90920821114369,60.0
be_6_8_8.tgf,22550,1822555,161.64567627494458,148.0,80.82283813747229,74.0,80.82283813747229,74.0
e_9_6_9.tgf,153450,14313622,186.5574714890844,168.0,93.2787357445422,84.0,93.2787357445422,84.0
be_8_6_9.tgf,90100,7360900,163.3940066592675,150.0,81.69700332963374,75.0,81.69700332963374,75.0
e_8_10_9.tgf,76650,7788864,203.2319373776908,176.0,101.6159686888454,88.0,101.6159686888454,88.0
e_8_10_8.tgf,76650,7790806,203.28260926288323,176.0,101.64130463144161,88.0,101.64130463144161,88.0
b_10_2_10.tgf,409400,27100593,132.39175867122617,110.0,66.19587933561309,55.0,66.19587933561309,55.0
e_6_10_8.tgf,19050,1796081,188.5649343832021,170.0,94.28246719160104,85.0,94.28246719160104,84.0
e_6_8_6.tgf,19050,1722192,180.8075590551181,166.0,90.40377952755905,83.0,90.40377952755905,83.0
e_6_4_10.tgf,19050,1576377,165.49889763779527,158.0,82.74944881889763,79.0,82.74944881889763,79.0
e_9_4_6.tgf,153450,13367564,174.22696643857935,162.0,87.11348321928968,81.0,87.11348321928968,81.0
be_6_6_7.tgf,22550,1733828,153.77631929046564,144.0,76.88815964523282,72.0,76.88815964523282,72.0
e_7_8_7.tgf,38250,3568660,186.59660130718953,168.0,93.29830065359477,84.0,93.29830065359477,84.0
be_8_6_6.tgf,89950,7381882,164.1330072262368,150.0,82.0665036131184,75.0,82.0665036131184,75.0
e_8_8_7.tgf,76650,7406595,193.25753424657535,172.0,96.62876712328767,86.0,96.62876712328767,86.0
b_9_10_6.tgf,204600,18550584,181.3351319648094,138.0,90.6675659824047,69.0,90.6675659824047,69.0
b_5_1_10.tgf,12600,765047,121.43603174603174,104.0,60.71801587301587,52.0,60.71801587301587,52.0
e_5_6_6.tgf,9450,792824,167.79343915343915,158.0,83.89671957671958,79.0,83.89671957671958,79.0
b_7_6_10.tgf,51000,3744536,146.84454901960785,118.0,73.42227450980393,59.0,73.42227450980393,59.0
e_9_6_7.tgf,153450,14322598,186.6744607363962,168.0,93.3372303681981,84.0,93.3372303681981,84.0
e_9_2_6.tgf,153450,12398452,161.59598566308244,156.0,80.79799283154122,78.0,80.79799283154122,78.0
e_9_2_8.tgf,153450,12409048,161.73408927989573,156.0,80.86704463994786,78.0,80.86704463994786,78.0
be_7_6_7.tgf,45050,3574038,158.669833518313,148.0,79.3349167591565,74.0,79.3349167591565,74.0
e_5_5_10.tgf,9450,781343,165.3635978835979,158.0,82.68179894179895,79.0,82.68179894179895,79.0
e_7_1_10.tgf,38250,2941295,153.79320261437908,152.0,76.89660130718954,76.0,76.89660130718954,76.0
be_6_1_10.tgf,21650,1496071,138.20517321016166,142.0,69.10258660508083,71.0,69.10258660508083,71.0
be_8_10_10.tgf,89350,8313950,186.09848908785673,162.0,93.04924454392837,81.0,93.04924454392837,81.0
be_9_4_6.tgf,180000,14058326,156.20362222222224,148.0,78.10181111111112,74.0,78.10181111111112,74.0
be_7_4_6.tgf,45050,3362236,149.266859045505,144.0,74.6334295227525,72.0,74.6334295227525,72.0
e_8_6_6.tgf,76650,6976954,182.04707110241358,166.0,91.02353555120679,83.0,91.02353555120679,83.0
e_10_7_10.tgf,307050,30459168,198.39874938935026,174.0,99.19937469467513,87.0,99.19937469467513,87.0
b_8_6_7.tgf,102200,7730445,151.2807240704501,120.0,75.64036203522505,60.0,75.64036203522505,60.0
be_9_6_7.tgf,179550,15177232,169.0585575048733,154.0,84.52927875243665,77.0,84.52927875243665,77.0
be_9_10_9.tgf,179450,17390540,193.82045137921426,164.0,96.91022568960713,82.0,96.91022568960713,82.0
b_5_3_10.tgf,12600,804906,127.76285714285714,108.0,63.88142857142857,54.0,63.88142857142857,54.0
e_5_8_9.tgf,9450,827569,175.1468783068783,162.0,87.57343915343915,81.0,87.57343915343915,81.0
e_8_2_7.tgf,76650,6134430,160.0634050880626,154.0,80.0317025440313,77.0,80.0317025440313,77.0
be_8_3_10.tgf,89150,6614774,148.39650028042624,146.0,74.19825014021312,73.0,74.19825014021312,73.0
b_6_4_6.tgf,25400,1704931,134.24653543307087,112.0,67.12326771653544,56.0,67.12326771653544,55.0
be_9_10_7.tgf,180550,17430686,193.08430905566325,164.0,96.54215452783163,82.0,96.54215452783163,82.0
e_6_10_10.tgf,19050,1795275,188.48031496062993,170.0,94.24015748031496,85.0,94.24015748031496,84.0
b_10_5_10.tgf,409400,31322453,153.01638006839278,120.0,76.50819003419639,60.0,76.50819003419639,61.0
e_7_6_6.tgf,38250,3386611,177.07769934640524,164.0,88.53884967320262,82.0,88.53884967320262,82.0
e_8_6_9.tgf,76650,6955373,181.48396607958253,166.0,90.74198303979126,83.0,90.74198303979126,83.0
b_6_1_10.tgf,25400,1550942,122.12141732283465,104.0,61.06070866141732,52.0,61.06070866141732,52.0
b_6_10_9.tgf,25400,2008686,158.16425196850395,126.0,79.08212598425197,63.0,79.08212598425197,63.0
be_8_2_10.tgf,90400,6390888,141.3913274336283,140.0,70.69566371681415,70.0,70.69566371681415,70.0
b_7_10_10.tgf,51000,4213078,165.21874509803922,130.0,82.60937254901961,65.0,82.60937254901961,65.0
be_7_4_8.tgf,44850,3358383,149.76066889632108,144.0,74.88033444816054,72.0,74.88033444816054,72.0
e_9_1_10.tgf,153450,11922387,155.3911632453568,152.0,77.6955816226784,76.0,77.6955816226784,76.0
e_7_2_7.tgf,38250,3031815,158.52627450980393,154.0,79.26313725490196,77.0,79.26313725490196,77.0
e_7_10_8.tgf,38250,3745528,195.84460130718955,172.0,97.92230065359477,86.0,97.92230065359477,86.0
b_9_6_9.tgf,204600,15983031,156.236862170088,124.0,78.118431085044,62.0,78.118431085044,62.0
b_8_2_7.tgf,102200,6598452,129.1282191780822,108.0,64.5641095890411,54.0,64.5641095890411,54.0
b_7_4_9.tgf,51000,3492057,136.94341176470587,112.0,68.47170588235294,56.0,68.47170588235294,56.0
b_6_10_8.tgf,25400,2013103,158.51204724409448,126.0,79.25602362204724,63.0,79.25602362204724,63.0
e_5_10_10.tgf,9450,853337,180.60042328042329,164.0,90.30021164021164,82.0,90.30021164021164,82.0
be_9_2_6.tgf,178500,12889660,144.42196078431374,144.0,72.21098039215687,72.0,72.21098039215687,72.0
be_8_6_10.tgf,89400,7365339,164.7726845637584,152.0,82.3863422818792,76.0,82.3863422818792,76.0
b_8_8_9.tgf,102200,8305339,162.53109589041097,126.0,81.26554794520548,63.0,81.26554794520548,63.0
be_9_2_7.tgf,178050,12876896,144.6435944959281,144.0,72.32179724796406,72.0,72.32179724796406,72.0
be_9_1_10.tgf,179100,12321731,137.59610273590172,140.0,68.79805136795086,70.0,68.79805136795086,70.0
b_9_6_6.tgf,204600,15933497,155.7526588465298,122.0,77.8763294232649,61.0,77.8763294232649,61.0
b_7_2_8.tgf,51000,3255344,127.66054901960784,108.0,63.83027450980392,54.0,63.83027450980392,54.0
e_7_2_10.tgf,38250,3029840,158.4230065359477,154.0,79.21150326797385,77.0,79.21150326797385,77.0
b_6_6_6.tgf,25400,1810333,142.54590551181101,116.0,71.27295275590551,58.0,71.27295275590551,58.0
be_9_2_8.tgf,179550,12899848,143.6908716235032,142.0,71.8454358117516,71.0,71.8454358117516,71.0
be_6_4_9.tgf,22000,1630912,148.26472727272727,146.0,74.13236363636364,73.0,74.13236363636364,73.0
e_10_9_10.tgf,307050,32649551,212.6660218205504,182.0,106.3330109102752,91.0,106.3330109102752,91.0
be_7_9_10.tgf,44300,3864165,174.45440180586908,156.0,87.22720090293454,78.0,87.22720090293454,78.0
be_9_8_9.tgf,179300,16248146,181.23977691020636,158.0,90.61988845510318,79.0,90.61988845510318,79.0
be_8_6_7.tgf,89400,7337781,164.1561744966443,152.0,82.07808724832215,76.0,82.07808724832215,76.0
be_9_6_10.tgf,178050,15134853,170.00677337826454,154.0,85.00338668913227,77.0,85.00338668913227,78.0
e_7_6_7.tgf,38250,3402275,177.89673202614378,164.0,88.94836601307189,82.0,88.94836601307189,82.0
b_8_10_6.tgf,102200,8853289,173.2541878669276,134.0,86.6270939334638,67.0,86.6270939334638,67.0
b_5_5_10.tgf,12600,847782,134.56857142857143,112.0,67.28428571428572,56.0,67.28428571428572,56.0
e_6_6_9.tgf,19050,1645188,172.72314960629922,160.0,86.36157480314961,80.0,86.36157480314961,81.0
b_8_6_8.tgf,102200,7729589,151.26397260273973,120.0,75.63198630136986,60.0,75.63198630136986,60.0
e_6_2_6.tgf,19050,1496792,157.14351706036746,154.0,78.57175853018373,77.0,78.57175853018373,77.0
e_9_6_10.tgf,153450,14346282,186.98314760508308,168.0,93.49157380254154,84.0,93.49157380254154,84.0
be_5_5_10.tgf,10950,810622,148.05881278538814,146.0,74.02940639269407,73.0,74.02940639269407,73.0
b_5_2_6.tgf,12600,784785,124.56904761904762,106.0,62.28452380952381,53.0,62.28452380952381,53.0
